ID                                    NAME                                 VERSION     STATE   FLAGS  OS       TYPE          PUBDATE
e4cd7b9e-4330-11e1-81cf-3bb50a972bda  centos-6                             1.0.1       active  P      linux    zvol          2012-02-13
01b2c898-945f-11e1-a523-af1afbe22822  smartos                              1.6.3       active  P      smartos  zone-dataset  2012-05-02
f9e4be48-9466-11e1-bc41-9f993f5dff36  smartos64                            1.6.3       active  P      smartos  zone-dataset  2012-05-02
3390ca7c-f2e7-11e1-8818-c36e0b12e58b  standard                             1.0.7       active  P      smartos  zone-dataset  2012-08-30
a0f8cf30-f2ea-11e1-8a51-5793736be67c  standard64                           1.0.7       active  P      smartos  zone-dataset  2012-08-30
dc1a8b5e-043c-11e2-9d94-0f3fcb2b0c6d  percona                              1.6.0       active  P      smartos  zone-dataset  2012-09-21
60a3b1fa-0674-11e2-abf5-cb82934a8e24  base64                               1.8.1       active  P      smartos  zone-dataset  2012-09-25
55330ab4-066f-11e2-bd0f-434f2462fada  base                                 1.8.1       active  P      smartos  zone-dataset  2012-09-25
2539f6de-0b5a-11e2-b647-fb08c3503fb2  centos-5.7                           1.3.0       active  P      linux    zvol          2012-10-01
8700b668-0da4-11e2-bde4-17221283a2f4  centos-6                             1.3.0       active  P      linux    zvol          2012-10-19
84cb7edc-3f22-11e2-8a2a-3f2a7b148699  base                                 1.8.4       active  P      smartos  zone-dataset  2012-12-05
fdea06b0-3f24-11e2-ac50-0b645575ce9d  base64                               1.8.4       active  P      smartos  zone-dataset  2012-12-05
60ed3a3e-92c7-11e2-ba4a-9b6d5feaa0c4  base                                 1.9.1       active  P      smartos  zone-dataset  2013-03-22
cf7e2f40-9276-11e2-af9a-0bad2233fb0b  base64                               1.9.1       active  P      smartos  zone-dataset  2013-03-22
95f6c9a6-a2bd-11e2-b753-dbf2651bf890  ws2012std                            1.0.1       active  P      windows  zvol          2013-04-11
014e2254-a853-11e2-81c9-b318c31fa17a  debian-6.0.7                         2.4.1       active  P      linux    zvol          2013-04-18
87c556ac-ab9d-11e2-914d-07682fcab47d  centos-6                             2.4.1       active  P      linux    zvol          2013-04-24
f669428c-a939-11e2-a485-b790efc0f0c1  base                                 13.1.0      active  P      smartos  zone-dataset  2013-04-26
9eac5c0c-a941-11e2-a7dc-57a6b041988f  base64                               13.1.0      active  P      smartos  zone-dataset  2013-04-26
3882b5da-b0e8-11e2-b3a9-dbcf26c3e051  percona                              13.1.0      active  P      smartos  zone-dataset  2013-05-01
beb2dbd4-b26f-11e2-8ad4-935c80092aa6  nodejs                               13.1.0      active  P      smartos  zone-dataset  2013-05-03
1567edb0-b33e-11e2-a0d2-bf73e2825ffe  riak                                 13.1.0      active  P      smartos  zone-dataset  2013-05-06
94384a12-bbeb-11e2-aec2-2bfa9742484b  debian-6.0.7                         2.4.2       active  P      linux    zvol          2013-05-13
30e9e4c8-bbf2-11e2-ac3b-3b598ee13393  centos-6                             2.4.2       active  P      linux    zvol          2013-05-13
48489174-e351-11e2-88c0-a31eb2b342ee  java                                 13.1.0      active  P      smartos  zone-dataset  2013-07-02
274bc2bc-d919-11e2-b797-83245409fbeb  hadoop                               13.1.0      active  P      smartos  zone-dataset  2013-07-02
bae3f528-e01f-11e2-b2cb-1360087a7d5f  cassandra                            13.1.0      active  P      smartos  zone-dataset  2013-07-02
e3364212-05c0-11e3-9576-3f3ee9e951a7  base                                 13.2.0      active  P      smartos  zone-dataset  2013-08-15
0084dad6-05c1-11e3-9476-8f8320925eea  base64                               13.2.0      active  P      smartos  zone-dataset  2013-08-15
399775e4-163e-11e3-8d42-7b14b732ae17  standard64                           13.2.0      active  P      smartos  zone-dataset  2013-09-05
ec5defa8-16fe-11e3-948e-8f59b3488902  mongodb                              13.2.0      active  P      smartos  zone-dataset  2013-09-06
34509f68-1ae7-11e3-b816-d3edf71c7840  standard                             13.2.0      active  P      smartos  zone-dataset  2013-09-11
b83f8276-1fdd-11e3-989b-4bddb088a8a0  base                                 13.2.1      active  P      smartos  zone-dataset  2013-09-20
17c98640-1fdb-11e3-bf51-3708ce78e75a  base64                               13.2.1      active  P      smartos  zone-dataset  2013-09-20
b779b49a-29e4-11e3-9b1d-0b0b41ccdcad  standard64                           13.2.1      active  P      smartos  zone-dataset  2013-09-30
d2409672-29f3-11e3-ba86-6f782523cb41  mongodb                              13.2.1      active  P      smartos  zone-dataset  2013-09-30
dac2ad6e-2aa5-11e3-885f-8fd408fc6a82  standard                             13.2.1      active  P      smartos  zone-dataset  2013-10-01
325dbc5e-2b90-11e3-8a3e-bfdcb1582a8d  centos-6                             2.5.0       active  P      linux    zvol          2013-10-02
ffed3d9e-2c2f-11e3-9a12-bf5267821b0b  nodejs                               13.2.1      active  P      smartos  zone-dataset  2013-10-04
133263be-3c2c-11e3-8d3a-a30c43ae58fd  nodejs                               13.2.2      active  P      smartos  zone-dataset  2013-10-23
610e04c4-3cc4-11e3-9867-df64b21b66fe  standard64                           13.2.3      active  P      smartos  zone-dataset  2013-10-24
56a0655c-3cc6-11e3-9c79-5701599fdf05  standard                             13.2.3      active  P      smartos  zone-dataset  2013-10-24
77a765e6-4b1e-11e3-95f2-dffa0dee3c57  stm-adc                              13.2.3      active  P      smartos  zone-dataset  2013-11-11
753ceee6-5372-11e3-8f4e-f79c1154e596  base                                 13.3.0      active  P      smartos  zone-dataset  2013-11-22
87b9f4ac-5385-11e3-a304-fb868b82fe10  base64                               13.3.0      active  P      smartos  zone-dataset  2013-11-22
7eec9dfc-5c59-11e3-a3e4-0b8030348bec  ssc                                  1.0.0       active  P      linux    zvol          2013-12-03
fb6e7820-60ee-11e3-93b6-7f34ea3f2616  percona                              13.3.0      active  P      smartos  zone-dataset  2013-12-09
dee73ee2-69ab-11e3-b593-a3f1f80ef403  base                                 13.3.1      active  P      smartos  zone-dataset  2013-12-20
c353c568-69ad-11e3-a248-db288786ea63  base64                               13.3.1      active  P      smartos  zone-dataset  2013-12-20
81223438-7874-11e3-9edf-8f1e15269924  nodejs                               13.3.1      active  P      smartos  zone-dataset  2014-01-08
40d56fc2-788c-11e3-8e0e-ab90eb060ee7  standard                             13.3.1      active  P      smartos  zone-dataset  2014-01-08
74c3b232-7961-11e3-a7a7-935768270b93  standard64                           13.3.1      active  P      smartos  zone-dataset  2014-01-09
c56ed646-82d8-11e3-849e-eb2c0535bf06  java                                 13.3.1      active  P      smartos  zone-dataset  2014-01-21
649e0c72-89ec-11e3-a7c2-97e6a67823b0  mongodb                              13.3.1      active  P      smartos  zone-dataset  2014-01-30
df81f45e-8f9f-11e3-a819-93fab527c81e  centos-6                             2.6.0       active  P      linux    zvol          2014-02-07
6d03452a-9a3c-11e3-8773-23a29a9b75d8  hadoop                               13.3.1      active  P      smartos  zone-dataset  2014-02-20
e28711b3-7f9c-47a7-be7f-ce07e9a99394  ubuntu-certified-12.04               20140227    active  P      linux    zvol          2014-02-27
2b683a82-a066-11e3-97ab-2faa44701c5a  base                                 13.4.0      active  P      smartos  zone-dataset  2014-02-28
ff86eb8a-a069-11e3-ae0e-4f3c8983a91c  base64                               13.4.0      active  P      smartos  zone-dataset  2014-02-28
7241e29a-a07b-11e3-9a5c-53df1db058c4  base                                 13.4.1      active  P      smartos  zone-dataset  2014-02-28
c3321aac-a07c-11e3-9430-fbb1cc12d1df  base64                               13.4.1      active  P      smartos  zone-dataset  2014-02-28
835e27b2-a47e-11e3-9eb6-e78ef6d1ee8f  postgresql                           13.3.1      active  P      smartos  zone-dataset  2014-03-05
1a4bdf60-b8da-11e3-a334-0f09e71eb510  standard64                           13.4.0      active  P      smartos  zone-dataset  2014-03-31
7c384e62-b8de-11e3-885f-9bb74b4e394b  standard                             13.4.0      active  P      smartos  zone-dataset  2014-03-31
78904c3a-ba8a-11e3-8d2c-e73f8ba0674a  elasticsearch                        13.4.0      active  P      smartos  zone-dataset  2014-04-02
fe5aa6c0-0f09-4b1f-9bad-83e453bb74f3  ubuntu-certified-12.04               20140408    active  P      linux    zvol          2014-04-08
398deede-c025-11e3-8b24-f3ba141900bd  standard64                           13.4.1      active  P      smartos  zone-dataset  2014-04-09
effeb440-c026-11e3-b235-afe25a8d326b  standard                             13.4.1      active  P      smartos  zone-dataset  2014-04-09
0fbd0a74-c028-11e3-ac6a-bf348e9f760c  elasticsearch                        13.4.1      active  P      smartos  zone-dataset  2014-04-09
19daa264-c4c4-11e3-bec3-c30e2c0d4ec0  centos-6                             2.6.1       active  P      linux    zvol          2014-04-15
df165dad-0a5d-4eb7-8646-50507ff1c136  ubuntu-certified-14.04               20140416    active  P      linux    zvol          2014-04-16
19edf83a-c674-11e3-af63-a78d671948c1  base                                 13.4.2      active  P      smartos  zone-dataset  2014-04-17
dc0688b2-c677-11e3-90ac-13373101c543  base64                               13.4.2      active  P      smartos  zone-dataset  2014-04-17
081d7fd2-714a-4dd2-8bc7-e689acd42702  ScaleArc-MSSQL-Enterprise-2CPU-2GB   20140430    active  IP     linux    zvol          2014-04-30
43933fd8-95fc-432d-9759-9b0faa322977  ScaleArc-MySQL-Enterprise-1CPU-1GB   20140430    active  IP     linux    zvol          2014-04-30
c0383349-c005-47d4-b1fd-896b4326c673  ScaleArc-MySQL-Enterprise-2CPU-2GB   20140430    active  IP     linux    zvol          2014-04-30
51163b3a-a706-c7f1-f0bd-f02e7d8f38f6  ScaleArc-MySQL-Enterprise-5CPU-10GB  20140430    active  IP     linux    zvol          2014-04-30
03cb9b7e-fed8-6462-c4bf-cefdb2e6430a  ScaleArc-MySQL-Platinum-2CPU-2GB     20140430    active  IP     linux    zvol          2014-04-30
155628ba-8ccc-caf6-97a9-c55e86af6175  ScaleArc-MySQL-Platinum-5CPU-32GB    20140430    active  IP     linux    zvol          2014-04-30
9ab3f722-d136-11e3-9f3a-6fcb23726ee3  percona                              13.4.2      active  P      smartos  zone-dataset  2014-05-01
caac17a4-d512-11e3-9d41-b756aebcb18f  base                                 14.1.0      active  P      smartos  zone-dataset  2014-05-06
8639203c-d515-11e3-9571-5bf3a74f354f  base64                               14.1.0      active  P      smartos  zone-dataset  2014-05-06
a2969206-d604-11e3-be79-dfd0c3676b44  ghost                                13.4.2      active  P      smartos  zone-dataset  2014-05-07
6d5debc0-dac3-11e3-8bc0-dfc25b68fd97  postgresql                           14.1.0      active  P      smartos  zone-dataset  2014-05-13
d05983cc-db7e-11e3-97fc-539ccfe9fa95  mongodb                              14.1.0      active  P      smartos  zone-dataset  2014-05-14
45ad5854-db8b-11e3-8f4c-0bc011b22b7d  nodejs                               14.1.0      active  P      smartos  zone-dataset  2014-05-14
e65e0c4c-dc4b-11e3-b843-93672a0b57d8  cassandra                            14.1.0      active  P      smartos  zone-dataset  2014-05-15
7735fbba-3706-49f0-8020-9e69e11f8ea1  ubuntu-certified-14.04               20140519    active  P      linux    zvol          2014-05-19
0fd57f23-bc80-4bde-8ab2-64acf8a14fe9  ubuntu-certified-12.04               20140519    active  P      linux    zvol          2014-05-19
bb41287c-e02a-11e3-aa6b-db678b82f5fc  java                                 14.1.0      active  P      smartos  zone-dataset  2014-05-20
4b348706-e122-11e3-9cb4-9b2c5062255c  nginx                                14.1.0      active  P      smartos  zone-dataset  2014-05-21
1daa8e14-e1ba-11e3-bd59-a3971b58fa36  elasticsearch                        14.1.0      active  P      smartos  zone-dataset  2014-05-22
